1@1@Jack Abbott;@Courtesy of Clive Abbott.
218@293@Lars-Eric Lindblad;@Courtesy of Lindblad Expeditions.
219@294@JR Longden;@"From Nineteenth Century Newspaper Engravings of Ceylon/Sri Lanka, by Raj de Silva."
220@297@Orissa Dean and the Luxtons;@Courtesy of Sally Blake.
221@297@Mr and Mrs Keith Luxton;@Falkland Islands Museum & National Trust.
222@298@Joseph Lynch;@Courtesy of the Lynch family.
223@300@Governor Mackenzie;@Falkland Islands Government Archives.
224@303@Charles Maddocks;@Courtesy of Charles Maddocks.
225@305@[Malaspina] Magnetic survey at Port Egmont;@Courtesy of Museo Naval Madrid.
226@305@Admiral Alejandro Malaspina;@Artist unknown. Courtesy of Museo Naval Madrid.
227@306@Mrs Velma Malcolm;@Courtesy of Mrs Ailsa Heathman.
228@308@David Manders;@Courtesy of Mrs Dorothy Wright.
229@312@Leo Mathews;@Courtesy of Mrs Jean Trewhella.
230@313@Richard Mayne;@"Courtesy of BC Archives, Victoria, BC, Canada."
231@314@Mrs EJ McAskill;@Courtesy of Falkland Islands Museum.
232@316@Robert McCormick;@Portrait by Stephen Pearce. © National Portrait Gallery London.
233@317@Owen McPhee;@Courtesy of Falkland Islands Government Archives.
234@318@The Rev Forrest McWhan;@Courtesy of Falkland Islands Government Archives.
235@325@Governor Middleton;@Courtesy of Falkland Islands Government Archives.
236@327@The Rev Peter Millam;@Courtesy of the Rev Peter Millam.
237@328@Syd and Betty Miller;@Falkland Islands Museum & National Trust.
238@329@Harry Milne;@Courtesy of Mrs Joan Spruce.
239@330@Frank Mitchell;@Courtesy of F Mitchell.
240@331@Adrian Monk;@Courtesy of Mrs Nora Monk.
241@334@James Leith Moody;@"Courtesy of the Postmaster, Stanley."
242@335@Governor Moody@Courtesy of Falkland Islands Government Archives.
243@335@Governor Moody’s statue;@Photo by Miss Sukey Cameron.
244@336@David Moore;@Courtesy of David Moore.
245@337@Governor Moore;@Portrait by Stephen Pearce. © National Portrait Gallery London.
246@339@Manuel Moreno;@"Portrait by Amérigo Beri (1947). Courtesy of the Biblioteca National, Buenos Aires."
247@340@Carlos Moyano and his bride;@Courtesy of Dr Arnoldo Canclini.
248@344@[Nerville] View of Port Louis.@From Pernetty’s History of a Voyage.
249@345@Fred Newman and young Fred;@Courtesy of Falkland Islands Government Archives.
250@346@NOG Nordenskjöld;@Courtesy of Stefan Heijtz.
251@347@Conor O’Brien;@Courtesy of Falkland Islands Company.
252@348@Governor O’Grady;@Courtesy of Falkland Islands Government Archives.
253@348@Governor O’Grady in camp;@Courtesy of Mrs Diana Giles.
254@350@Nils Erling Olsen;@Courtesy of Nils Eivind Olsen.
255@351@[Frank Ommaney] Book cover;@
256@356@[RC Packe] Memorial plaque;@"Photo by Jane Cameron. Courtesy of the Cathedral, Stanley."
257@358@Sir Woodbine Parish;@"Painted by Thomas Phillips, engraved by IW Slater. © National Portrait Gallery London."
258@359@James Parker;@Courtesy of Falkland Islands Government Archives.
259@361@Des Peck;@Courtesy of Falkland Islands Government Archives.
260@362@Terry Peck;@Copyright of Norman Clark.
261@363@"A Pensioner’s cottage, Stanley;"@Courtesy of Falkland Islands Government Archives.
262@368@Luis Piedra Buena;@Courtesy of Dr Arnoldo Canclini.
263@369@KS Pierce-Butler;@Courtesy of Ian Hart.
264@371@Andrez Pitaluga;@Courtesy of the Pitaluga family.
265@372@Douglas Pole-Evans: @"From The Pole-Evans Family, by Robert Barnes."
266@373@Reginald Pole-Evans: @"From The Pole-Evans Family, by Robert Barnes."
267@374@Charles Poole;@Courtesy of Falkland Islands Government Archives.
268@375@Nathaniel Portlock;@"Courtesy of the National Maritime Museum, Greenwich."
269@376@Peter Prince;@Courtesy of Dr John Croxall.
270@378@Niall Rankin;@Courtesy of Robert Burton.
271@379@Frank Ransom’s signature;@Photo by Miss Jane Cameron.
272@379@[Frank Ransom] Unveiling the Battle Memorial;@Courtesy of Falkland Islands Government Archives.
273@381@Governor Rennie;@Courtesy of Falkland Islands Government Archives.
274@381@[Governor Rennie] Bust by Rennie;@Photo by Major Ronnie Spafford.
275@383@Nicholas Ridley;@© National Portrait Gallery London.
276@385@Annis Roberts and David Roberts;@Courtesy of Gerald Roberts.
277@386@Brian Roberts;@Courtesy of the Scott Polar Research Institute.
278@387@David Roberts;@Courtesy of Gerald Roberts.
279@388@George Roberts;@Courtesy of Gerald Roberts.
280@388@[George Roberts] Battle memorial;@Courtesy of the Falkland Islands Company.
281@389@Gerald Roberts;@Courtesy of Gerald Roberts.
282@390@Charles Robertson;@Courtesy of James R Robertson.
283@391@James Robertson;@Courtesy of James R Robertson.
284@392@James R Robertson;@Courtesy of James R Robertson.
285@393@Plan of Anson (detail);@"Courtesy of The National Archives, London."
286@394@Governor Robinson;@Courtesy of Falkland Islands Government Archives.
287@394@"Autumn Woods, score;"@Courtesy of Major Ronnie Spafford.
288@395@President Roca;@"By Genaro Pérez. Courtesy of the Museo Historico Nacional, Buenos Aires."
289@397@Father Rudolph Roel;@Courtesy of John Leonard.
290@398@Woodes Rogers;@"Courtesy of the National Maritime Museum, Greenwich."
291@400@President Rosas;@"By Cayetano Descalzi. Courtesy of the Museo Historico Nacional, Buenos Aires."
292@401@Sir James Clark Ross;@By John R Wildman. © National Maritime Museum.
293@401@[Sir James Clark Ross] Penguins;@From A Voyage of Discovery and Research… (London 1847).
294@402@Francis Rotch;@"Courtesy of New Bedford Whaling Museum, MA."
295@404@Ernesto Rowe;@Courtesy of Falkland Islands Government Archives.
296@406@Edward Rowlands;@Courtesy of Lord Rowlands.
297@407@Harold Rowlands;@Copyright of Norman Clark.
298@407@Harold Rowlands;@"Courtesy of Financial Secretary, Stanley."
299@408@John Rowlands;@Courtesy of Robert Rowlands.
300@412@Alfredo Ryan;@Courtesy of Ian Hart.
301@416@[Sanguinetti] Bisected stamps; @Courtesy of Malcolm Barton.
302@419@Carl Schrader;@Courtesy of Dr Cornelia Lüdecke.
303@420@Gustav Schulz;@Courtesy of David Simkin.
304@421@Sir Peter Scott;@Courtesy of National Portrait Gallery
305@423@"Edward, Lord Shackleton;"@Cartoon by Raymond Allen Jackson (Jak) Courtesy of the Hon Alexandra Shackleton and the Evening Standard.
306@423@"Edward, Lord Shackleton;"@"Courtesy of the artist, Richard Griffin, of the Hon Alexandra Shackleton and The Times."
307@424@Sir Ernest Shackleton; @Sketch by George Marston from The Antarctic Book Winter Quarters 1907–1909.
308@424@Sir Ernest Shackleton;@Courtesy of the Scott Polar Research Institute.
309@424@Sir Ernest Shackleton;@Courtesy of the Scott Polar Research Institute.
310@424@"[Ernest Shackleton] Shackleton’s grave unveiled, Grytviken;"@"Courtesy of The National Archives, London."
311@425@Duffy Sheridan;@Courtesy of Duffy Sheridan.
312@425@[Duffy Sheridan] Angus Jaffray;@Courtesy of Duffy Sheridan.
313@427@Carl Skottsberg;@Courtesy of Stefan Heiitz.
314@430@Thomas Slaughter;@Courtesy of Eileen Davison.
315@431@Stewart Slessor;@Courtesy of Falkland Islands Government Archives.
316@432@Alastair Sloggie;@Courtesy of Noeline Sloggie.
317@433@[Henry Smith] Port Louis by Henry Smyth;@Courtesy of Falkland Islands Museum.
318@436@William H Smyley;@Dean family collection.
